snr,inr,npath_rate,conv_rate
25,10,11.665635613808806,11.445353697537582
25,15,11.634529449132994,10.859322485401265
25,20,11.599355040588305,9.802726621086215
25,25,11.40512047918425,8.352103576944957
25,30,10.911899585368339,6.642787195222259
25,35,10.005537624883605,4.7990601006954705
25,40,8.692998115082293,3.063827501782481
25,45,7.166119086079646,1.713419757641798
25,50,5.5730918043975475,0.8364895449346557
25,55,3.9842666013779806,0.3384850999384643
25,60,2.510784950294494,0.12958858619447972
25,65,1.306740018357658,0.045809205959244814
25,70,0.5488466830260849,0.019951270280531095
25,75,0.19388698326518156,0.011573458220540619
25,80,0.06613042194429229,0.008726443214589423
30,0,11.767541164249694,9.750478503245068
30,5,11.751508873917924,9.738147673990156
30,10,11.746865265874026,9.702238188367154
30,15,11.738774044339179,9.653542215630035
30,20,11.71601632328802,9.450285313590028
30,25,11.593587248763985,8.873676443447987
30,30,11.441995465235491,7.6606523343156026
30,35,10.949965733602253,5.7758449609731946
30,40,10.018951522906953,3.865416343534472
30,45,8.695276969458028,2.398330907361993
30,50,7.169402342291276,1.3919644418917616
30,55,5.567206612154347,0.7124797150970437
30,60,3.969736229128405,0.30854577197275235
30,65,2.483200807979877,0.11911478166453582
30,70,1.260565225405283,0.0445534005429435
30,75,0.5170296418449376,0.01922831376518191
30,80,0.18096425584918227,0.010745750473913669
35,0,9.194570986669572,7.040547322877183
35,5,9.218363770730916,7.052824515086225
35,10,9.23592522905691,7.071307807647118
35,15,9.196913261823275,7.035996834101287
35,20,9.254814972621741,7.095743340722107
35,25,9.21549222085668,7.062118232390832
35,30,9.222158534013502,6.949465067812093
35,35,9.15378004108414,6.107011946369928
35,40,9.067791404888734,4.42168655746555
35,45,8.760759181474947,2.8875014229674547
35,50,8.041820380365461,1.8439689585216794
35,55,6.910837704778197,1.1398756771810166
35,60,5.449584969694345,0.6232018719083269
35,65,3.8711514363893835,0.29085666094250645
35,70,2.344810993233084,0.11442909131672588
35,75,1.1582342304844122,0.04450833989144849
35,80,0.46529311069130125,0.018945225103494386
